PLOT ID,Rep,Growth_Stage,Dry weight
4135,1,2,1.28
6276,1,2,1.57
4234,1,2,2.35
5210,1,2,2.13
4217,1,2,1.04
4135,2,2,1.34
4274,1,2,2.19
5206,2,2,2.32
5220,2,2,2.38
5227,2,2,1.56
5238,2,2,1.81
4267,1,2,2.27
6241,1,2,1.91
6267,2,2,1.64
6268,1,2,1.58
5249,2,2,1.41
6247,2,2,1.44
6158,1,2,2.25
6241,2,2,1.55
4216,1,2,2.71
5211,1,2,1.97
4272,2,2,2.32
5182,2,2,1.17
4272,1,2,2.54
5182,1,2,1.22
5176,1,2,2.13
5123,2,2,0.9
6267,1,2,1.59
4119,1,2,1.76
5201,1,2,1.49
4256,2,2,2.13
5128,1,2,2.4
5272,1,2,1.84
5154,1,2,2.01
6261,1,2,1.75
5128,2,2,2.23
6272,1,2,1.59
5237,2,2,1.85
5237,1,2,2.3
5216,2,2,2.02
5162,2,2,1.79
4280,2,2,1.59
4277,1,2,1.91
5268,1,2,1.54
4247,2,2,1.41
4128,2,2,2.29
5150,2,2,1.94
6276,2,2,1.25
4244,2,2,2.5
4279,1,2,2.11
5211,2,2,2.72
5135,2,2,1.64
6184,2,2,1.48
4256,1,2,2.7
5216,1,2,1.74
5206,1,2,1.7
4154,1,2,2.49
4106,2,2,2.01
4155,2,2,1.52
6219,1,2,2.39
5162,1,2,1.7
2241,2,2,1.92
2181,2,2,2.88
1206,2,2,2.18
2225,2,2,4.82
4260,2,2,1.36
2321,1,2,1.82
1144,2,2,2.84
4277,2,2,1.72
5272,2,2,1.84
4158,2,2,2.33
5249,1,2,1.71
4155,1,2,1.42
5161,2,2,2.26
4236,2,2,2.24
5126,2,2,1.89
4280,1,2,2.53
5176,2,2,2.59
5154,2,2,1.64
5201,2,2,1.58
4216,2,2,2.02
6159,1,2,1.64
5153,2,2,1.69
4106,1,2,1.44
2311,1,2,1.64
4205,2,2,1.73
6247,1,2,2.22
4267,2,2,3.12
5261,2,2,2.18
5210,2,2,2.19
2068,2,2,2.63
2060,1,2,2.14
4274,2,2,1.63
6162,1,2,2.87
5268,2,2,2.07
4128,1,2,2.54
6155,1,2,2.41
4234,2,2,2
6272,2,2,1.37
4108,1,2,2.17
4205,1,2,1.75
5240,1,2,1.73
4104,1,2,2
4119,2,2,1.79
1091,2,2,2.1
1197,1,2,3.04
1330,2,2,2.28
1239,2,2,1.69
4247,1,2,1.58
5147,2,2,1.85
1144,1,2,2.66
4204,1,2,2.22
2127,2,2,1.81
6184,1,2,1.7
6210,1,2,2
1127,1,2,1.75
1252,1,2,1.81
5270,1,2,2.34
4154,2,2,2.96
1052,2,2,2.2
4260,1,2,1.61
4122,1,2,2.29
5126,1,2,2.25
5270,2,2,1.76
6274,2,2,1.96
6134,1,2,1.6
6132,2,2,1.84
4129,1,2,1.86
6140,1,2,2.34
5238,1,2,2.36
6274,1,2,2.14
2127,1,2,2.57
2136,2,2,2.54
2268,1,2,1.49
5227,1,2,1.56
2060,2,2,2.08
2053,2,2,2.27
2098,2,2,1.56
1217,1,2,2.9
1217,2,2,2.77
1096,2,2,1.91
2378,2,2,1.69
5243,1,2,1.49
1157,2,2,1.89
2225,1,2,3.27
2098,1,2,1.69
5131,2,2,2.43
4159,1,2,2.34
5116,2,2,2.01
6210,2,2,1.61
5135,1,2,1.66
1028,2,2,2.64
6162,2,2,2.87
1127,2,2,2.64
5243,2,2,1.04
5123,1,2,1.29
1330,1,2,2.24
1218,2,2,2.29
1218,1,2,2.7
4131,2,2,1.8
4111,2,2,2.1
6174,2,2,2.1
6158,2,2,2.05
2053,1,2,1.84
2292,1,2,2.09
2180,1,2,1.72
2268,2,2,1.51
6174,1,2,2.1
2242,2,2,2.79
1289,2,2,1.91
6122,2,2,1.79
1028,1,2,1.85
5116,1,2,1.48
5245,2,2,2.61
6111,2,2,2.23
6127,1,2,3.06
6122,1,2,1.5
4124,2,2,2.43
2292,2,2,2.01
4131,1,2,1.64
6268,2,2,1.5
4124,1,2,1.92
4129,2,2,2.18
6111,1,2,1.94
6128,2,2,2.4
4122,2,2,2.06
6132,1,2,1.58
5240,2,2,1.54
6134,2,2,2.25
5160,1,2,1.34
5147,1,2,1.78
1197,2,2,2.29
2136,1,2,2.25
2109,2,2,2.55
1206,1,2,2.24
6128,1,2,2.12
4158,1,2,2.84
6262,2,2,1.15
4279,2,2,1.31
6262,1,2,1.72
6238,2,2,2.04
4217,2,2,1.83
5160,2,2,1.32
5152,1,2,1.74
6238,1,2,2.3
6219,2,2,1.97
6140,2,2,2.28
6223,1,2,1.86
4127,1,2,2.07
4167,2,2,2.76
6226,1,2,1.83
5153,1,2,1.57
5220,1,2,2.16
6263,2,2,1.67
6223,2,2,1.93
6255,1,2,1.24
4127,2,2,2.1
6143,2,2,1.6
4244,1,2,2.62
6153,1,2,2.47
6226,2,2,2.3
5247,2,2,1.55
4167,1,2,3.01
4159,2,2,1.76
5161,1,2,2.28
6149,1,2,1.58
5152,2,2,1.76
4115,2,2,2.74
6155,2,2,1.98
4115,1,2,2.68
4108,2,2,1.96
6110,1,2,1.37
6153,2,2,2.17
6143,1,2,1.36
5144,1,2,1.75
6149,2,2,2.52
5245,1,2,2.26
5130,1,2,1.7
4204,2,2,1.24
4236,1,2,2.41
6170,1,2,1.77
5130,2,2,1.44
6170,2,2,2.18
4111,1,2,1.82
4104,2,2,1.84
6159,2,2,1.35
6127,2,2,2.11
5131,1,2,1.7
5150,1,2,1.98
6110,2,2,1.9
5144,2,2,1.59
1096,1,2,1.49
2109,1,2,2.28
2321,2,2,2.1
2180,2,2,1.89
2378,1,2,2.73
1052,1,2,2.47
2311,2,2,1.65
2241,1,2,1.85
2242,1,2,2.59
2068,1,2,1.94
1289,1,2,2.11
1056,1,2,1.62
1056,2,2,1.11
1091,1,2,2.23
1239,1,2,1.76
6116,2,2,2.46
2181,1,2,2.61
1252,2,2,1.24
1077,1,2,2.15
1077,2,2,1.96
6116,1,2,2.84
1157,1,2,2.03
