,PLOT ID,Genotype,Leaf Area,Predicted
159,5128,PHK76 x LH145,280.2,293.13976866512667
145,5116,B37 x H95,309.5,271.70207712085517
379,6226,2FACC x 3IIH6,232.30000000000004,270.5052257202325
475,2127,PHJ40@,220.80000000000004,221.2771371447418
399,6261,B14A x Mo17,278.3,314.5192114994298
474,2109,Oh43@,332.8,230.04081141579422
127,4273,F42 x Mo17,285.6,230.40498045045968
485,2241,2FACC@,255.0,291.79196153668465
29,4124,B73 x PHZ51,137.7,244.74869988553257
407,6263,WF9 x H95,303.6,310.9300644266818
365,6184,PHJ40 x LH82,227.80000000000004,194.92771554159268
255,5243,PHK76 x LH145,219.9,253.2834834211237
385,6238,B73 x Mo17,266.2,272.30324159997525
496,2321,B84@,205.0,261.4347822940683
185,5152,B14A x Mo17,265.2,264.9365189791282
405,6262,B37 x Mo17,259.0,302.9600062016354
83,4216,B84 x 3IIH6,199.80000000000004,165.2484546821707
460,1252,LH145@,205.9,222.7242813499329
3,4104,PHJ40 x LH82,335.0,284.9417186473718
99,4236,B37 x Mo17,388.60000000000014,282.0135186216132
419,6272,F42 x OH43,260.6,366.96628867968593
129,4274,B37 x OH43,232.9,269.717114801923
339,6155,B37 x Mo17,301.1,286.3940565078214
77,4205,PHK76 x LH82,208.2,240.0063397139274
359,6174,PHK76 x LH82,211.2,236.86814413641628
403,6262,B37 x Mo17,249.4,359.0512866740428
430,5152,B14A x Mo17,226.9,216.30409645274744
21,4119,PHK76 x LH145,191.8,203.69302713672352
115,4260,LH123HT x 3IIH6,158.6,240.55388119150996
458,1239,3IIH6@,188.80000000000004,233.5556937841273
468,2060,3IIH6@,188.80000000000004,169.4516229998749
452,1206,LH82@,273.1,132.43453276310612
265,5247,PHJ40 x LH82,306.6,267.32822163458144
353,6162,B73 x Mo17,368.39999999999986,285.28853542063734
39,4128,F42 x Mo17,370.7,295.48496760232416
498,2378,F42@,261.0,268.30679536336726
235,5220,F42 x OH43,301.7,257.1823018102342
301,6122,PHJ40 x LH82,257.5,258.6059161776659
217,5201,2FACC x 3IIH6,233.1,273.00743520263694
247,5238,WF9 x H95,275.1,219.7735590358624
219,5206,PHK76 x LH82,319.8,276.6301058856271
441,1096,Mo17@,190.0,196.50584653281751
167,5131,F42 x Mo17,220.1,264.1661607819692
35,4127,WF9 x H95,384.39999999999986,296.64704242396715
329,6143,PHK76 x LH145,185.2,209.3227278995231
478,2136,LH82@,287.9,262.6530293962211
427,6276,PHZ51 x LH145,253.5,270.65257566375544
237,5220,F42 x OH43,357.5,273.4278537459806
103,4244,B37 x H95,337.3,344.20919389701055
463,1330,F42@,181.1,231.07537757649607
421,6272,F42 x OH43,261.6,235.02127728977524
423,6274,B37 x H95,264.1,314.8790296933008
375,6223,F42 x Mo17,308.6,259.99563225594574
469,2068,PHK76@,217.5,264.683816075552
1,4104,PHJ40 x LH82,285.0,253.01157496288243
490,2268,PHZ51@,61.4,177.5003238404274
436,1056,PHZ51,194.7,119.34284356638662
229,5211,B84 x 3IIH6,347.60000000000014,300.98554973904737
133,4277,PHK76 x 3IIH6,323.1,315.24296262330853
454,1217,PHJ40@,241.6,238.32055937667653
189,5153,B37 x Mo17,272.2,287.5073477113129
489,2268,PHZ51@,189.5,204.81673941360444
453,1217,PHJ40@,183.0,155.39224746615628
91,4225,B73 x PHZ51,246.7,302.0957094178887
205,5162,B37 x OH43,240.0,299.4377412986424
119,4267,B73 x 3IIH6,316.6,334.92724904677027
125,4273,F42 x Mo17,255.4,249.28695726622558
425,6274,B37 x H95,357.0,315.0801587364032
309,6128,LH123HT x 3IIH6,298.3,324.06837047217425
337,6153,B37 x OH43,196.5,319.0189568335261
413,6267,B37 x OH43,233.6,253.81643322378656
141,4280,WF9 x H95,391.2,326.8875074644202
333,6149,B73 x 3IIH6,173.0,194.6070509113767
341,6155,B37 x Mo17,282.3,273.64345302526124
440,1091,B84@,288.6,278.951712732804
391,6247,B73 x PHZ51,145.4,99.46035885328408
59,4155,LH123HT x 3IIH6,249.4,249.77705000041323
157,5128,PHK76 x LH145,250.0,243.80145223607633
471,2098,LH145@,242.5,247.3474834823361
245,5237,B14A x Mo17,274.3,252.68432523372348
451,1206,LH82@,270.0,154.2655286332642
33,4127,WF9 x H95,334.6,312.87681839436675
183,5150,LH123HT x 3IIH6,200.1,208.43871863071027
473,2109,Oh43@,318.8,254.65134219300336
271,5261,B73 x 3IIH6,309.0,307.4765141896481
253,5240,PHK76 x 3IIH6,305.3,268.78156663469997
53,4154,B37 x Mo17,231.6,325.2063357258349
225,5210,B37 x OH43,236.1,372.27501315825737
93,4234,B14A x Mo17,368.89999999999986,310.40235551078933
447,1157,LH123HT@,215.7,370.9359087812617
97,4236,B37 x Mo17,265.1,228.08317930115575
387,6241,B84 x 3IIH6,262.9,226.6492962225072
155,5126,WF9 x H95,339.3,264.61338248318674
197,5160,F42 x OH43,336.6,300.3542300725326
169,5135,PHJ40 x LH82,294.9,270.0271601169862
429,6276,PHZ51 x LH145,332.9,328.80850521696107
472,2098,LH145@,217.0,259.11722270255973
289,6110,PHK76 x 3IIH6,260.1,219.41273313949134
63,4158,B84 x 3IIH6,283.0,324.12668109248347
71,4167,F42 x OH43,311.4,277.1710424737307
163,5130,PHK76 x 3IIH6,273.7,247.2986697694692
85,4217,2FACC x 3IIH6,249.9,259.6968375833341
215,5201,2FACC x 3IIH6,314.1,328.88378276589935
27,4122,B73 x Mo17,302.3,273.7552658724313
397,6255,LH123HT x 3IIH6,179.4,173.28006015183246
431,1028,B14A,240.0,204.06341312195747
73,4204,PHK76 x LH145,216.7,200.78402757310238
345,6158,B37 x H95,203.30000000000004,230.76916665459382
207,5176,B73 x Mo17,211.0,281.8504946361888
349,6159,2FACC x 3IIH6,301.1,277.5300535767103
37,4128,F42 x Mo17,379.5,274.1008810612997
484,2225,Oh43E@,450.0,390.908241700485
173,5144,2FACC x 3IIH6,267.3,303.06796955068734
